,cut,clarity,color,price,depth,carat,table,x,y,z
1,Ideal,SI2,E,326,61.5,0.23,55,3.95,3.98,2.43
2,Premium,SI1,E,326,59.8,0.21,61,3.89,3.84,2.31
3,Good,VS1,E,327,56.9,0.23,65,4.05,4.07,2.31
4,Premium,VS2,I,334,62.4,0.29,58,4.2,4.23,2.63
5,Good,SI2,J,335,63.3,0.31,58,4.34,4.35,2.75
6,Very Good,VVS2,J,336,62.8,0.24,57,3.94,3.96,2.48
7,Very Good,VVS1,I,336,62.3,0.24,57,3.95,3.98,2.47
8,Very Good,SI1,H,337,61.9,0.26,55,4.07,4.11,2.53
9,Fair,VS2,E,337,65.1,0.22,61,3.87,3.78,2.49
10,Very Good,VS1,H,338,59.4,0.23,61,4,4.05,2.39
11,Good,SI1,J,339,64,0.3,55,4.25,4.28,2.73
12,Ideal,VS1,J,340,62.8,0.23,56,3.93,3.9,2.46
13,Premium,SI1,F,342,60.4,0.22,61,3.88,3.84,2.33
14,Ideal,SI2,J,344,62.2,0.31,54,4.35,4.37,2.71
15,Premium,SI2,E,345,60.2,0.2,62,3.79,3.75,2.27
16,Premium,I1,E,345,60.9,0.32,58,4.38,4.42,2.68
17,Ideal,SI2,I,348,62,0.3,54,4.31,4.34,2.68
18,Good,SI1,J,351,63.4,0.3,54,4.23,4.29,2.7
19,Good,SI1,J,351,63.8,0.3,56,4.23,4.26,2.71
20,Very Good,SI1,J,351,62.7,0.3,59,4.21,4.27,2.66
21,Good,SI2,I,351,63.3,0.3,56,4.26,4.3,2.71
22,Very Good,VS2,E,352,63.8,0.23,55,3.85,3.92,2.48
23,Very Good,VS1,H,353,61,0.23,57,3.94,3.96,2.41
24,Very Good,SI1,J,353,59.4,0.31,62,4.39,4.43,2.62
25,Very Good,SI1,J,353,58.1,0.31,62,4.44,4.47,2.59
26,Very Good,VVS2,G,354,60.4,0.23,58,3.97,4.01,2.41
27,Premium,VS1,I,355,62.5,0.24,57,3.97,3.94,2.47
28,Very Good,VS2,J,357,62.2,0.3,57,4.28,4.3,2.67
29,Very Good,VS2,D,357,60.5,0.23,61,3.96,3.97,2.4
30,Very Good,VS1,F,357,60.9,0.23,57,3.96,3.99,2.42
31,Very Good,VS1,F,402,60,0.23,57,4,4.03,2.41
32,Very Good,VS1,F,402,59.8,0.23,57,4.04,4.06,2.42
33,Very Good,VS1,E,402,60.7,0.23,59,3.97,4.01,2.42
34,Very Good,VS1,E,402,59.5,0.23,58,4.01,4.06,2.4
35,Very Good,VS1,D,402,61.9,0.23,58,3.92,3.96,2.44
36,Good,VS1,F,402,58.2,0.23,59,4.06,4.08,2.37
37,Good,VS1,E,402,64.1,0.23,59,3.83,3.85,2.46
38,Good,SI1,H,402,64,0.31,54,4.29,4.31,2.75
39,Very Good,VS2,D,403,60.8,0.26,59,4.13,4.16,2.52
40,Ideal,SI2,I,403,61.8,0.33,55,4.49,4.51,2.78
41,Ideal,SI2,I,403,61.2,0.33,56,4.49,4.5,2.75
42,Ideal,SI1,J,403,61.1,0.33,56,4.49,4.55,2.76
43,Good,VS2,D,403,65.2,0.26,56,3.99,4.02,2.61
